player_id,timestamp,net_now,net_prev,velocity
513,2025-12-22_13-48-26,128,0,-128
514,2025-12-22_13-48-26,-56,0,56
515,2025-12-22_13-48-26,-560,0,560
516,2025-12-22_13-48-26,32,0,-32
517,2025-12-22_13-48-26,-1041,0,1041
518,2025-12-22_13-48-26,-2,0,2
519,2025-12-22_13-48-26,-5,0,5
520,2025-12-22_13-48-26,0,0,0
521,2025-12-22_13-48-26,-16,0,16
522,2025-12-22_13-48-26,-22,0,22
523,2025-12-22_13-48-26,-2,0,2
524,2025-12-22_13-48-26,-3,0,3
525,2025-12-22_13-48-26,-375,0,375
526,2025-12-22_13-48-26,-480,0,480
527,2025-12-22_13-48-26,-44,0,44
669,2025-12-22_13-48-26,-97,0,97
675,2025-12-22_13-48-26,-56,0,56
693,2025-12-22_13-48-26,17,0,-17
696,2025-12-22_13-48-26,-12,0,12
699,2025-12-22_13-48-26,6,0,-6
715,2025-12-22_13-48-26,29,0,-29
716,2025-12-22_13-48-26,-17,0,17
729,2025-12-22_13-48-26,0,0,0
734,2025-12-22_13-48-26,3,0,-3
528,2025-12-22_13-48-26,2,0,-2
529,2025-12-22_13-48-26,-5,0,5
530,2025-12-22_13-48-26,-13,0,13
531,2025-12-22_13-48-26,2992,0,-2992
532,2025-12-22_13-48-26,164,0,-164
533,2025-12-22_13-48-26,0,0,0
534,2025-12-22_13-48-26,-27,0,27
535,2025-12-22_13-48-26,-4,0,4
536,2025-12-22_13-48-26,3,0,-3
537,2025-12-22_13-48-26,-5,0,5
538,2025-12-22_13-48-26,-22,0,22
539,2025-12-22_13-48-26,-6,0,6
540,2025-12-22_13-48-26,-32,0,32
541,2025-12-22_13-48-26,-1361,0,1361
542,2025-12-22_13-48-26,-8,0,8
543,2025-12-22_13-48-26,-9,0,9
544,2025-12-22_13-48-26,-7,0,7
